topicNames,articleID
"Business,Habitat,Global health,Technology",26904
Global health,26905
"Business,Technology,Local News",26906
"Habitat,Africa,Science",26907
"Habitat,Europe,Local News",26908
"Art and Culture,Happy news,Science",26909
"Art and Culture,Happy news,Science",26910
"Habitat,Europe,Middle East",26911
"Middle East,Human Rights,Human Stories",26912
"Politics,North America,Human Rights",26913
"Europe,Social Movements,Human Rights",26914
"Politics,Global health,Europe",26915
Mental Health,26916
Local News,26917
"Europe,Human Rights",26918
"Politics,North America",26919
"Politics,Asia",26920
"Europe,North America,Climate Crisis",26921
"Politics,Business",26922
"Asia,Middle East",26923
"Europe,Climate Crisis",26924
"Europe,Human Rights",26925
"Asia,Human Rights",26926
"Middle East,Human Rights,Human Stories",26927
"Asia,Middle East,Climate Crisis",26928
"Middle East,Human Rights,Human Stories",26929
"Business,Technology,Happy news",26930
"Technology,Art and Culture,Happy news",26931
"Business,Technology,Crypto Currency",26932
"Technology,Gender Equality,Human Rights",26933
"Habitat,Technology,Happy news",26934
"Habitat,Global health,Happy news,Science",26935
"Climate Crisis,Science,Human Stories",26936
"Europe,Climate Crisis,Human Rights",26937
Local News,26938
"Business,Local News",26939
"Politics,Europe",26940
"Africa,Gender Equality,Happy news",26941
Happy news,26942
"Art and Culture,Happy news",26943
"Europe,Asia",26944
"Business,Happy news",26945
"Europe,Human Rights",26946
"Politics,Africa",26947
"Politics,Europe,Local News,Human Rights",26948
"Habitat,Europe",26949
Global health,26950
Global health,26951
"Business,Local News",26952
"Business,Technology,Local News",26953
"Politics,Global health",26954
"Technology,Climate Crisis",26955
"Happy news,Crypto Currency",26956
Global health,26957
"Politics,Europe",26958
"Politics,Business",26959
Local News,26960
"Politics,Europe",26961
"Habitat,Europe,Social Movements",26962
"Europe,Human Rights",26963
"Politics,Europe,Asia",26964
"Business,Technology,Happy news,Human Stories",26965
"Africa,Human Rights",26966
"Global health,Technology,Happy news,Science",26967
"Politics,Europe,Social Movements,Human Rights",26968
"Global health,Climate Crisis",26969
"Social Movements,Finance",26970
"Art and Culture,Mental Health",26971
Politics,26972
Local News,26973
"Politics,Local News",26974
"Local News,Happy news",26975
"Global health,Happy news",26976
Asia,26977
