id,language,title,cardTitle,writtenTitle,slug,summary,writtenSummary,fullText,newsType,link,videoID,source,trending,editorPick,sendNotification,keywords,imagePath,nitlType,addedBy,addedOn,publisherID,publishedOn,updatedBy,updatedOn,approved,approvedOn,approvedBy,active,isDraft,draftAddedDate,draftAssignedBy,feedback,rating,aiSummaryRating,expiryDate,contentStyleID,contentID,isPremium
26904,2,Deep-Dive: How the Global Supply Chain Crisis Will Reach You ,,,deep-dive-How-the-Global-Supply-Chain-Crisis-Will-Reach-You,,,,,https://nitl.app/know?id=420,,,0,0,0,"Global Supply Chain Crisis Reach risen energy prices worldwide domino effect affecting China, coal key products countries create Shortages world generates half country' electricity common goods depending regions prone disruptions vary toilet paper bottled water pet food clothes shortage tech &amp; automotive industry massive global problem agricultural, livestock, Middle East, computer chips main exports industrial sector India’ Brazil, shortage cars drought impacting shortages water medicines main countries driving Domino Effect Shortages crisis supply chain crisis union workers deals port operations world governments fix issues transportation UK EU steered government problems control private businesses, including trucking companies, warehouses, port operators supply chain system large part controlled railroads Supply chains systems World demand risen 5% pre-pandemic times main problem Scaling system stressed globalization questioned supply chain crisis Government fix increase national capabilities end international dependency supply chains products sourced regions stable Europe, , UK leaders calling manufactures disruptions pandemics, natural disasters, cybertheft, trade disputes, political conflicts supply chain workers conflicts lead supply chain normality established disruptions global supply chains prone autonomous, sustainable, national energy, countries regional alliances call end globalization shift technology food cars depend disruption Supply Chain Crisis End Globalization supply chain crisis, driven factors, leaves wide range option quick-fix rapid return business- -usual , Middle East, Africa UK, Europe, Asia users bills increase petrol prices Technology products car industry delay releases health sector living Gas rise inflation shortages unclear impacted Holiday season shortages severe shortages common goods - Government plans alleviate disruptions food, experienced, worse Moderate expected sectors crisis affect",442a61634917742370,3,127,2021-10-19 17:01:51,,2021-10-23 15:23:06,8,2021-10-23 15:23:06,1,2021-10-23 15:23:06,8,1,0,,,,,,,8,420,1
26921,2,Climate change: Fossil fuel production set to soar over next decade,In case you missed it,Climate change: Fossil fuel production set to soar over next decade,climate-change-fossil-fuel-production-set-to-soar-over-next-decade,"The UN says plans by governments to extract fossil fuels up to 2030 are incompatible with keeping global temperatures to safe levels.
A study says coal production will drop but gas will increase over the next 20 years.
The report profiles 15 major production countries including Australia, Russia, Saudi Arabia, the US, and the UK.","The UN says plans by governments to extract fossil fuels up to 2030 are incompatible with keeping global temperatures to safe levels.
A study says coal production will drop but gas will increase over the next 20 years.
The report profiles 15 major production countries including Australia, Russia, Saudi Arabia, the US, and the UK.",,,https://www.bbc.com/news/science-environment-58971131,,BBC,0,1,0,,6cb51070-316b-11ec-9f0e-7faab7de16b3,2,32,2021-10-20 06:03:19,,2021-10-24 00:00:00,42,2021-10-20 13:36:31,1,2021-10-20 13:36:31,42,1,0,,,well written,5,,,3,,0
26922,2,Deep-Dive: Tesla strikes nickel deal with French-owned islands in the Pacific,,,deep-dive-Tesla-strikes-nickel-deal-with-French-owned-islands-in-the-Pacific,,,,,https://nitl.app/know?id=422,,,0,0,0,"Tesla strikes nickel deal French-owned islands Pacific Tesla boss, Elon Musk, urged miners key ingredient electric cars nickel, produce batteries power company' mine nickel efficiently giant contract long period environmentally sensitive ,” Musk “Tesla 2020 give time greater nickel mining battery materials wallow rock bottom call prices Elon Musk nickel Li-ion batteries superior power density electric cars, moving vehicles long distances incorporated generation critical Nickel makes batteries energy dense single charge, cars run Tesla metal Tesla sources nickel-cobalt-manganese (NCM) batteries South Korea' LG Chem nickel-cobalt-aluminium (NCA) batteries Panasonic Corp Japan' important ingredient electric cars Nickel technical partner nickel mine Tesla decided secure long-term supply huge nickel reserves biggest nickel producers local economy, Goro mine, island, Caledonia' crucial south potential world' electric car firm Elon Musk’ Goro mine turning scale lithium-ion cell production technical partner due shortage fears Tesla supply contract nickel; Tesla concluded agreed purchase 42,000 tonnes Prony Resources metal Caledonia part multi-year contract southern Pacific Ocean east 51% owned provincial authorities Caledonia, Prony group islands Australia belongs France Swiss commodity trader Trafigura supply contract September 2021 negotiated Tesla signed Elon Musk strikes nickel deal",389851635257881755,3,41,2021-10-20 07:06:12,,2021-10-26 19:48:31,8,2021-10-26 19:48:31,1,2021-10-26 19:48:31,8,1,0,,,,,,,8,422,0
26946,2,Jailed Kremlin critic Alexei Navalny wins EU's top human rights award,"",Jailed Kremlin critic Alexei Navalny wins EU's top human rights award,jailed-kremlin-critic-alexei-navalny-wins-eus-top-human-rights-award,"The European Parliament awarded the Sakharov Prize for human rights to jailed Russian opposition figure Navalny, who last year survived a poisoning attack.
His organisation described the award as a victory for all supporters of truth.
The movement headed by the 45-year-old was banned as ""extremist"" and some of his allies were forced to leave Russia.","The European Parliament awarded the Sakharov Prize for human rights to jailed Russian opposition figure Navalny, who last year survived a poisoning attack.
His organisation described the award as a victory for all supporters of truth.
The movement headed by the 45-year-old was banned as ""extremist"" and some of his allies were forced to leave Russia.",,,https://www.france24.com/en/live-news/20211020-jailed-kremlin-critic-alexei-navalny-wins-eu-s-sakharov-prize-for-human-rights,,France24,0,0,1,,5439f370-31ad-11ec-9f0e-7faab7de16b3,1,32,2021-10-20 13:55:05,,2021-10-24 00:00:00,42,2021-10-21 08:57:31,1,2021-10-21 08:57:31,42,1,0,,,well written,5,,,3,,0
26950,2,Fact-check: Inhaling vinegar can treat Covid-19 symptoms,,,fact-check-Inhaling-vinegar-cannot-treat-Covid-19-symptoms,,,,,https://nitl.app/fact/193,,,0,0,0,"Inhaling vinegar treat Covid-19 symptoms Facebook airways, oral cavity, oesophagus, potentially harmful, acetic acid, Health experts inhaling vinegar delays obtaining directly indirectly Vinegar inhaled corrosive eyes Indirectly , potentially life-threatening treatment Medical professionals advise caution health benefits harsh substances substances vinegar flavour colour rinsing harm reliable convincing data follow medical guidance treatment methods Physicians support claims Covid-19 prevention",4022c1634917168294,3,32,2021-10-20 15:06:01,,2021-10-22 21:13:21,8,2021-10-22 21:13:21,1,2021-10-22 21:13:21,8,1,0,,,,,,,6,193,0
26962,2,Local activists in long battle to stop oil drilling on Isle of Wight,NITL Pick,Local activists in long battle to stop oil drilling on Isle of Wight,local-activists-in-long-battle-to-stop-oil-drilling-on-isle-of-wight,"Isle of Wight Council has rejected the UK Oil and Gas Investments proposal to drill for oil on the island.
The oil company had applied to drill two exploratory boreholes near Arreton for recovering 15.7 million barrels of oil.
The decision brought relief to the campaign group - Don't Drill the Wight - which opposed the plans for the past five years.","Isle of Wight Council has rejected the UK Oil and Gas Investments proposal to drill for oil on the island.
The oil company had applied to drill two exploratory boreholes near Arreton for recovering 15.7 million barrels of oil.
The decision brought relief to the campaign group - Don't Drill the Wight - which opposed the plans for the past five years.",,,https://www.euronews.com/green/2021/10/20/local-activists-in-long-battle-to-stop-oil-drilling-on-isle-of-wight,,Euro News,0,1,0,,58f5de50-3230-11ec-bc13-8bc07d8cc609,2,32,2021-10-21 05:32:57,,2021-10-24 00:00:00,42,2021-10-21 14:06:37,1,2021-10-21 14:06:37,42,1,0,,,well written,5,,,3,,0
26968,2,Deep-Dive: The Algerian massacre of 1961,,,deep-dive-The-Algerian-massacre-of-1961,,,,,https://nitl.app/know?id=423,,,0,0,0,"Algerian massacre 1961 60 years ago President Emmanuel Macron bloody police operation “unforgivable” crime river Seine Algerians” 1961, drown writing wall recalls massacre happened Algerian pro-independence demonstrators French postwar history starting point October 1961 darkest chapters attended memorial bridge marked protests led “crimes committed French president officially recognise official speech republic”, night … unforgivable made apology 60 years Algerian massacre Paris police chief Maurice Papon, police attacked 17, 1961, Algerians curfew imposed Oct orders demonstration 25,000 pro-National Liberation Front (FLN) Algerians protesting repressed ""brutally, violently dozens killed arrested, march blood"" 12,000 Algerians wounded French rule long denied French authorities precise number historians putting 200 dead massacre, Algeria, established, place war concealed victims 17 October happened children, turned violent peaceful demonstrations, &nbsp; protests 30,000 participants included women police&nbsp;ordered crackdown President Charles de Gaulle senior official posts Maurice Papon, 1961, Papon police official, Paris police wartime deportation 1980s’ ’honneur 1998 time led found Nazi collaborator&nbsp; awarded égion hold number convicted crimes humanity part 1,690 Jews Bordeaux stripped decorations titles current context situation ""trail crimes"" time remaining wary Marine le Pen historical reconciliation electoral opponents 2022; colonies, overlooked president running term made priority provoking backlash current political climate France’ &nbsp;dominated cultural identity, making amends colonial past nation’ issues security &nbsp;Mr Macron appeal conservative voters&nbsp; balked York Times) January, apologies” France’ office remorse occupation Algeria current political situation France historians hoped office failed police, Macron Macron’ Activists Mr acknowledge responsibility state cover- refrained calling killings massacre police violence officers’ behavior ongoing debate recent years widespread protests Macron’ recognizing hypocrisy statement time racism France High-profile cases &nbsp;beating Black radio producer&nbsp; carrying &nbsp;discriminatory police checks&nbsp; set outrage Macron’ move symbolic symbolic move place amid diplomatic tensions French military planes month Algeria commemoration Paris Algiers Early closed airspace recalled ambassador “Le Monde” comments attributed France based Macron, France"" happened quoted Algeria' ""politico-military system"" rewritten history colonisation hatred quoted questioning Algerian nation colonial rule Algerian minister understand Macron means, Macron support unacceptable diplomatic tensions strong family ties Maghreb countries, France slashing France row top number visas citizens people government spokesperson, Gabriel Attal, provide consular documents arriving illegally move countries refusing citizens deported France foreign minister, Nasser Bourita, told reporters immigration rules, Morocco’ irregular migration” Attal hopes induce cooperation consular cooperation France’ Rabat decision unjustified reflect reality fight Immigration policy Fourth jets regularly fly battle armed groups western Africa, Algerian territory Sahel region France’ reach soldiers helping died fighting French colonialism internal affairs,” intolerable affront” French comments categorical rejection inadmissible interference strictest definitions Algeria expresses Algeria building colonial France genocide,” , adding Algeria France statement history basis hatred Algerians crimes innumerable fit implications show symbolic gestures important Neocolonialsm",44bf71634993335693,3,116,2021-10-21 09:07:03,16,2021-10-23 18:19:51,8,2021-10-23 18:19:51,1,2021-10-23 18:19:51,8,1,0,,,,,,,8,423,0
26971,2,"Deep-Dive: Authorities discourage Squid Game, a danger for society",,,deep-dive-Authorities-discourage-Squid-Game-a-danger-for-society,,,,,https://nitl.app/know?id=424,,,0,0,0,"Authorities discourage Squid Game, danger society South Korean Netflix series -watched Netflix series September 2021, Squid game month launching time impoverished individuals, huge, compete hunger games financial hurdle narrates group debts form order win sum money include severe violence children’ games, tests shape lead death watched show Netflix' sparked controversy due major concerns, violent shows widely watched high number decades children' views social media platforms Squid Game challenges show directly, Tik Tok, impact due reproduce parts incite users watch influenced content create inciting young people harmful behaviors, schools worldwide commit violent mere speculation content’ Parents expressed fear likelihood basing concerns Children' watching show danger playing Squid Game challenges Teachers school Belgium children playground beating defeated confirmed similar violent behaviours British schools’ playgrounds imitating scenes popular series urging parents schools reports children council heads ban watching show caught playing Squid Game’ red light, green light aggressive version Australia, case schoolkids Children worldwide violent local councils entire country show’ ban, schools encouraging parts world prohibit emission China violent visual content Squid Game Chinese government' country, important Netflix made position policy place years Communist Party Chinese people illegal websites spite fact rejected possibility censor-friendly version, thousands watching show Squid Game banned China , state media claimed Squid Game portrayed beast system present South Korean shows North Korea, South Korea Western states unavailable, show rest capitalism money drives people “extreme competition South Korea, portrays humanity wiped article piece propaganda words untrue current economic capitalist system kills thousands indirectly, Squid Game system explicit, analyzed metaphor show reflects dangerous current capitalism show reflects brutality ",439ee1635099515910,3,110,2021-10-21 10:25:45,14,2021-10-22 21:08:48,8,2021-10-22 21:08:48,1,2021-10-22 21:08:48,8,1,0,,,,,,,8,424,0
26984,2,WHO warns pandemic will drag on deep into 2022,Covid-19,Covid: WHO warns pandemic will drag on deep into 2022,covid-who-warns-pandemic-will-drag-on-deep-into-2022,"WHO says the pandemic will go on for a year longer than it needs to as poorer countries are not getting the vaccines they need.
UN-backed global programme Covax aimed to deliver 2 billion doses by the end of this year, but so far it has shipped 371 million doses.
The majority of vaccines were used in high-income or upper-middle-income countries. ","WHO says the pandemic will go on for a year longer than it needs to as poorer countries are not getting the vaccines they need.
UN-backed global programme Covax aimed to deliver 2 billion doses by the end of this year, but so far it has shipped 371m doses.
The majority of vaccines were used in high-income or upper-middle-income countries. ",,,https://www.bbc.com/news/health-58973697,,BBC,0,1,0,,85b26630-3270-11ec-bc13-8bc07d8cc609,2,32,2021-10-21 13:12:20,,2021-10-24 00:00:00,42,2021-10-21 20:13:35,1,2021-10-21 20:13:35,42,1,0,,,minor edits,4,,,3,,0
26988,2,Deep-Dive: How the Taliban has been treating women,,,deep-dive-How-the-Taliban-has-been-treating-women,,,,,https://nitl.app/know?id=425,,,0,0,0,"treating women Taliban 200 beauty parlours opened -led invasion &nbsp; 2001, decades ousted Taliban Kabul hundreds parts country beauty salons Taliban closed Kabul women public Islam Beauty industry workers Taliban, afraid future Taliban targets' 'Women dangerous places Afghanistan labelled world woman study suggested 87% country experience domestic violence women form suffer domestic abuse Afghan police &nbsp; Women turned persuaded back husbands family' honour Statistics swept back Afghan women power, reality, Taliban dealing girls &nbsp;pledged&nbsp; girls study women work — vague caveat lines permitted Islam school closures, movement restrictions, alarming reports emerging women forced Taliban’ pretense moderation leave jobs false narrative  female protesters chanted equal rights, government,"" dozens women marched street Kabul Wednesday marching peacefully 4-5 vehicles 10 Taliban fighters changed), Jia ( protester emit electric shocks stopped, lashed whips, women beaten batons Afghan women march rights - met hostility",3e0451634831593327,3,124,2021-10-21 14:07:30,19,2021-10-26 19:44:47,8,2021-10-26 19:44:47,1,2021-10-26 19:44:47,8,1,0,,,,,,,8,425,0
