id,pollID,userID,slotIndex,addDateTime
2254,44,18533,8,2021-10-23 06:14:17
2255,34,18976,3,2021-10-23 17:43:25
2256,34,18977,6,2021-10-23 18:48:34
2257,43,18976,2,2021-10-23 19:49:05
2258,44,18978,8,2021-10-24 00:16:07
2259,34,16420,8,2021-10-24 04:05:19
2260,35,16420,0,2021-10-24 04:08:12
2261,43,13666,6,2021-10-24 14:58:14
2262,41,6385,5,2021-10-24 20:06:55
2263,34,4430,0,2021-10-24 23:29:46
2264,34,12715,2,2021-10-24 23:37:30
2265,41,15516,5,2021-10-24 23:37:42
2266,42,15516,4,2021-10-24 23:39:28
2267,35,12715,5,2021-10-25 00:00:54
2268,41,12214,8,2021-10-25 00:24:38
2269,42,12214,8,2021-10-25 00:24:50
2270,43,7330,2,2021-10-25 00:37:47
2271,44,7330,2,2021-10-25 00:38:20
2272,34,7519,5,2021-10-25 01:24:48
2273,35,7519,0,2021-10-25 01:25:57
2274,34,12347,5,2021-10-25 01:53:53
2275,35,12347,0,2021-10-25 01:54:26
2276,34,13169,0,2021-10-25 02:36:09
2277,34,18985,8,2021-10-25 06:41:30
2278,34,18987,6,2021-10-25 11:32:11
2279,35,18987,3,2021-10-25 11:32:33
2280,43,18587,0,2021-10-25 13:28:49
2281,43,18805,0,2021-10-25 15:29:52
2282,44,18805,2,2021-10-25 15:30:09
2283,45,18952,0,2021-10-25 19:03:18
2284,45,18146,0,2021-10-25 21:55:48
2285,45,3764,0,2021-10-25 22:04:48
2286,44,11815,2,2021-10-25 22:09:42
2287,43,5937,0,2021-10-25 22:14:30
2288,34,3577,0,2021-10-25 22:15:31
2289,41,10999,0,2021-10-25 22:20:09
2290,44,3307,0,2021-10-25 22:20:32
2291,44,5937,3,2021-10-25 22:22:47
2292,45,3307,0,2021-10-25 22:23:36
2293,45,11226,0,2021-10-25 22:45:59
2294,46,11226,0,2021-10-25 22:50:16
2295,47,11226,8,2021-10-25 22:52:33
2296,45,4631,0,2021-10-25 23:57:56
2297,46,4631,0,2021-10-25 23:58:11
2298,47,4631,7,2021-10-25 23:58:54
2299,34,18992,4,2021-10-26 00:23:11
2300,41,18992,3,2021-10-26 00:47:04
2301,42,18992,5,2021-10-26 00:47:43
2302,46,13411,0,2021-10-26 01:18:56
2303,47,13411,8,2021-10-26 01:19:55
2304,43,11862,0,2021-10-26 01:39:11
2305,44,11862,4,2021-10-26 01:40:50
2306,45,11862,0,2021-10-26 01:41:34
